timestamp,obj_type,meas_x,meas_y,pred_x,pred_y
19:01:42.389643,hand_left,312,450,310,456
19:01:42.389643,hand_right,731,754,730,757
19:01:42.510040,hand_left,312,449,310,456
19:01:42.510040,hand_right,730,764,731,758
19:01:42.629898,hand_left,313,447,311,456
19:01:42.629898,hand_right,733,759,731,761
19:01:42.749597,hand_left,308,445,311,454
19:01:42.749597,hand_right,730,759,732,762
19:01:42.869627,hand_left,310,446,310,452
19:01:42.869627,hand_right,727,764,732,762
19:01:42.985767,hand_left,309,447,310,451
19:01:42.985767,hand_right,729,758,731,764
19:01:43.105720,hand_left,308,449,309,450
19:01:43.105720,hand_right,725,759,731,763
19:01:43.225746,hand_left,309,449,308,450
19:01:43.225746,hand_right,726,756,729,763
19:01:43.345913,hand_left,309,447,308,450
19:01:43.345913,hand_right,724,754,728,762
19:01:43.465893,hand_left,309,446,308,449
19:01:43.465893,hand_right,720,755,727,760
19:01:43.585714,hand_left,309,447,308,448
19:01:43.585714,hand_right,726,760,724,758
19:01:43.705746,hand_left,312,445,308,447
19:01:43.705746,hand_right,725,753,724,759
19:01:43.822227,hand_left,314,445,309,446
19:01:43.822227,hand_right,731,759,724,757
19:01:43.941642,hand_left,314,445,310,446
19:01:43.941642,hand_right,722,759,725,757
19:01:44.061538,hand_left,317,445,311,445
19:01:44.061538,hand_right,742,761,724,758
19:01:44.181787,hand_left,319,446,313,444
19:01:44.181787,hand_right,740,758,729,758
19:01:44.302482,hand_left,320,446,315,444
19:01:44.302482,hand_right,738,761,733,758
19:01:44.421916,hand_left,324,446,317,444
19:01:44.421916,hand_right,736,763,735,759
19:01:44.538015,hand_left,326,449,320,444
19:01:44.538015,hand_right,743,766,736,760
19:01:44.657908,hand_left,331,451,323,445
19:01:44.657908,hand_right,744,763,739,762
19:01:44.777878,hand_left,333,453,327,447
19:01:44.777878,hand_right,741,764,742,763
19:01:44.897979,hand_left,331,455,330,449
19:01:44.897979,hand_right,741,764,743,764
19:01:45.017532,hand_left,331,457,332,451
19:01:45.017532,hand_right,737,765,744,764
19:01:45.137332,hand_left,331,459,334,453
19:01:45.137332,hand_right,738,766,743,765
19:01:45.257674,hand_left,329,461,335,456
19:01:45.257674,hand_right,735,773,742,766
19:01:45.373895,hand_left,327,462,334,458
19:01:45.373895,hand_right,734,767,740,768
19:01:45.494377,hand_left,326,462,333,461
19:01:45.494377,hand_right,727,769,739,769
19:01:45.613727,hand_left,324,463,332,462
19:01:45.613727,hand_right,735,763,735,769
19:01:45.733800,hand_left,324,463,330,464
19:01:45.733800,hand_right,730,762,735,768
19:01:45.853800,hand_left,323,466,328,465
19:01:45.853800,hand_right,734,758,733,766
19:01:45.973577,hand_left,324,467,327,466
19:01:45.973577,hand_right,731,756,732,764
19:01:46.090086,hand_left,324,467,326,468
19:01:46.090086,hand_right,729,751,731,761
19:01:46.210170,hand_left,325,466,325,469
